Category,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Category,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Category,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Category,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Category,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Category,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11,Category,Sep '11,Jun '11,Mar '11,Dec '10,Sep '10,Category,Jun '10,Mar '10,Dec '09,Sep '09,Jun '09,Category,Mar '09,Dec '08,Sep '08,Jun '08,Mar '08,Category,Dec '07,Sep '07,Jun '07,Mar '07,Dec '06,Category,Sep '06,Jun '06,Mar '06,Dec '05,Sep '05,Category,Jun '05,Mar '05,Dec '04,Sep '04,Jun '04,Category,Mar '04,Dec '03,Sep '03,Jun '03,Mar '03,Category,Dec '02,Sep '02,Jun '02,Mar '02,Dec '01,Category,Sep '01,Jun '01,Mar '01,Dec '00,Sep '00,Category,Jun '00,Mar '00,Dec '99,Sep '99,Jun '99,Category,Mar '99,Dec '98,Sep '98,Jun '98,Mar '98,Category,Dec '97,Sep '97,Jun '97,Category,Dec '97,Sep '97,Jun '97
Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,--,19.69,--,5.77,--,Extra Ordinary Items,-5.90,--,--,--,--,Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,--,--,-33.60,--,--,Extra Ordinary Items,--,0.08,-4.31,--,--,Extra Ordinary Items,-6.81,--,--,--,--,Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,--,--,--,--,--,Extra Ordinary Items,7.07,--,--,--,6.50,Extra Ordinary Items,--,--,--,Extra Ordinary Items,--,--,--
Net Profit/(Loss) For the Period,479.68,630.96,481.49,542.63,491.57,Net Profit/(Loss) For the Period,528.97,473.45,400.95,440.82,425.83,Net Profit/(Loss) For the Period,435.27,501.18,400.95,423.57,370.75,Net Profit/(Loss) For the Period,427.54,339.82,353.07,325.67,308.84,Net Profit/(Loss) For the Period,267.07,307.47,310.60,283.92,239.56,Net Profit/(Loss) For the Period,312.03,223.82,274.59,244.59,250.48,Net Profit/(Loss) For the Period,212.90,250.42,171.43,206.60,196.16,Net Profit/(Loss) For the Period,200.96,177.04,178.69,254.32,164.45,Net Profit/(Loss) For the Period,92.62,49.99,120.75,98.55,88.07,Net Profit/(Loss) For the Period,105.63,109.96,74.23,69.08,65.13,Net Profit/(Loss) For the Period,77.73,57.98,20.09,60.63,62.92,Net Profit/(Loss) For the Period,44.17,40.99,50.11,49.27,33.45,Net Profit/(Loss) For the Period,30.54,41.47,46.76,28.79,29.56,Net Profit/(Loss) For the Period,43.67,41.31,28.83,31.59,34.35,Net Profit/(Loss) For the Period,29.62,21.22,31.72,25.66,30.46,Net Profit/(Loss) For the Period,18.55,34.59,23.24,23.86,15.65,Net Profit/(Loss) For the Period,28.84,15.72,18.27,14.05,18.09,Net Profit/(Loss) For the Period,17.35,18.78,13.28,Net Profit/(Loss) For the Period,17.35,18.78,13.28
Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,95.92,95.92,95.92,Equity Share Capital,95.92,95.92,96.28,64.19,64.19,Equity Share Capital,64.19,64.19,64.19,64.19,64.19,Equity Share Capital,64.19,64.19,64.19,64.19,64.19,Equity Share Capital,40.12,40.12,40.11,40.11,40.11,Equity Share Capital,40.11,40.11,40.11,40.11,40.11,Equity Share Capital,40.11,40.11,40.11,Equity Share Capital,40.11,40.11,40.11
Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--,Reserves Excluding Revaluation Reserves,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,--,--,Equity Dividend Rate (%),--,--,--,Equity Dividend Rate (%),--,--,--
EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,,,EPS Before Extra Ordinary,,,,EPS Before Extra Ordinary,,,
Basic EPS,5.00,6.58,5.02,5.66,5.12,Basic EPS,5.51,4.94,4.18,4.60,4.44,Basic EPS,4.54,5.23,4.18,4.42,3.87,Basic EPS,4.46,3.54,3.68,3.39,3.22,Basic EPS,2.78,3.21,3.24,29.60,24.98,Basic EPS,32.53,23.33,28.63,25.50,26.11,Basic EPS,20.45,26.11,17.87,21.54,20.45,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,Basic EPS,--,--,--
Diluted EPS,5.00,6.58,5.02,5.66,5.12,Diluted EPS,5.51,4.94,4.18,4.60,4.44,Diluted EPS,4.54,5.23,4.18,4.42,3.87,Diluted EPS,4.46,3.54,3.68,3.39,3.22,Diluted EPS,2.78,3.21,3.24,29.60,24.98,Diluted EPS,32.53,23.33,28.63,25.50,26.11,Diluted EPS,20.45,26.11,17.87,21.54,20.45,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,Diluted EPS,--,--,--
EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,,,EPS After Extra Ordinary,,,,EPS After Extra Ordinary,,,
Basic EPS,5.00,6.58,5.02,5.66,5.12,Basic EPS,5.51,4.94,4.18,4.60,4.44,Basic EPS,4.54,5.23,4.18,4.42,3.87,Basic EPS,4.46,3.54,3.68,3.39,3.22,Basic EPS,2.78,3.21,3.24,29.60,24.98,Basic EPS,32.53,23.33,28.63,25.50,26.11,Basic EPS,22.20,26.11,17.87,21.54,20.45,Basic EPS,20.95,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,--,--,Basic EPS,--,--,--,Basic EPS,--,--,--
Diluted EPS,5.00,6.58,5.02,5.66,5.12,Diluted EPS,5.51,4.94,4.18,4.60,4.44,Diluted EPS,4.54,5.23,4.18,4.42,3.87,Diluted EPS,4.46,3.54,3.68,3.39,3.22,Diluted EPS,2.78,3.21,3.24,29.60,24.98,Diluted EPS,32.53,23.33,28.63,25.50,26.11,Diluted EPS,22.20,26.11,17.87,21.54,20.45,Diluted EPS,20.95,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,--,--,Diluted EPS,--,--,--,Diluted EPS,--,--,--
Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,,,Public Share Holding,,,,Public Share Holding,,,
No Of Shares (Crores),--,--,--,--,--,No Of Shares (Crores),--,--,--,--,--,No Of Shares (Crores),--,--,--,--,--,No Of Shares (Crores),45.28,45.28,45.28,45.28,45.28,No Of Shares (Crores),45.28,45.29,45.29,4.53,4.53,No Of Shares (Crores),4.53,4.53,4.53,4.53,4.53,No Of Shares (Crores),4.53,4.54,4.57,4.57,4.60,No Of Shares (Crores),4.74,4.75,4.80,4.80,4.80,No Of Shares (Crores),4.80,4.80,4.78,4.85,4.85,No Of Shares (Crores),4.85,4.90,5.01,5.00,--,No Of Shares (Crores),--,5.01,5.06,--,5.48,No Of Shares (Crores),5.48,5.48,--,5.48,5.49,No Of Shares (Crores),--,--,5.51,3.68,3.68,No Of Shares (Crores),3.68,3.67,3.69,3.69,3.68,No Of Shares (Crores),3.68,3.66,3.58,--,--,No Of Shares (Crores),--,--,--,--,--,No Of Shares (Crores),--,--,--,--,--,No Of Shares (Crores),--,--,--,No Of Shares (Crores),--,--,--
Share Holding (%),--,--,--,--,--,Share Holding (%),--,--,--,--,--,Share Holding (%),--,--,--,--,--,Share Holding (%),47.21,47.21,47.21,47.21,47.21,Share Holding (%),47.21,47.21,47.21,47.21,47.21,Share Holding (%),47.21,47.21,47.21,47.21,47.21,Share Holding (%),47.22,47.35,47.66,47.67,47.99,Share Holding (%),49.38,49.47,50.02,50.05,50.02,Share Holding (%),50.02,50.01,49.85,50.51,50.53,Share Holding (%),50.53,51.05,52.19,52.18,--,Share Holding (%),--,52.20,52.77,--,57.16,Share Holding (%),57.14,57.14,--,57.16,57.20,Share Holding (%),--,--,57.20,57.36,57.40,Share Holding (%),57.40,57.23,57.51,57.53,57.39,Share Holding (%),57.39,57.00,55.85,--,--,Share Holding (%),--,--,--,--,--,Share Holding (%),--,--,--,--,--,Share Holding (%),--,--,--,Share Holding (%),--,--,--
Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,,,Promoters and Promoter Group Shareholding,,,,Promoters and Promoter Group Shareholding,,,
a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,,,a) Pledged/Encumbered,,,,a) Pledged/Encumbered,,,
- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),6.80,6.61,6.98,7.86,10.13,- Number of shares (Crores),9.42,8.39,8.40,0.82,0.78,- Number of shares (Crores),0.89,0.96,0.95,1.09,1.14,- Number of shares (Crores),1.13,1.37,1.14,1.06,1.11,- Number of shares (Crores),0.82,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,- Number of shares (Crores),--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),13.44,13.06,13.78,15.52,20.01,- Per. of shares (as a % of the total sh. of prom. and promoter group),18.60,16.58,16.60,16.15,15.48,- Per. of shares (as a % of the total sh. of prom. and promoter group),17.67,18.87,18.77,21.51,22.58,- Per. of shares (as a % of the total sh. of prom. and promoter group),22.35,27.20,22.72,21.04,22.19,- Per. of shares (as a % of the total sh. of prom. and promoter group),16.85,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),7.09,6.89,7.28,8.19,10.57,- Per. of shares (as a % of the total Share Cap. of the company),9.82,8.75,8.76,8.53,8.17,- Per. of shares (as a % of the total Share Cap. of the company),9.33,9.96,9.91,11.36,11.92,- Per. of shares (as a % of the total Share Cap. of the company),11.80,14.32,11.89,11.01,11.54,- Per. of shares (as a % of the total Share Cap. of the company),8.53,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--
b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,,,b) Non-encumbered,,,,b) Non-encumbered,,,
- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),43.83,44.02,43.66,42.78,40.50,- Number of shares (Crores),41.22,42.24,42.23,4.25,4.28,- Number of shares (Crores),4.17,4.11,4.11,3.97,3.92,- Number of shares (Crores),3.93,3.68,3.88,3.96,3.88,- Number of shares (Crores),4.04,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,--,--,- Number of shares (Crores),--,--,--,- Number of shares (Crores),--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),86.56,86.94,86.22,84.48,79.99,- Per. of shares (as a % of the total sh. of prom. and promoter group),81.40,83.42,83.40,83.85,84.52,- Per. of shares (as a % of the total sh. of prom. and promoter group),82.33,81.13,81.23,78.49,77.42,- Per. of shares (as a % of the total sh. of prom. and promoter group),77.65,72.80,77.28,78.96,77.81,- Per. of shares (as a % of the total sh. of prom. and promoter group),83.15,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),45.70,45.90,45.51,44.60,42.22,- Per. of shares (as a % of the total Share Cap. of the company),42.97,44.04,44.03,44.26,44.61,- Per. of shares (as a % of the total Share Cap. of the company),43.46,42.83,42.88,41.43,40.87,- Per. of shares (as a % of the total Share Cap. of the company),40.98,38.33,40.45,41.32,40.47,- Per. of shares (as a % of the total Share Cap. of the company),42.09,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--
Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,Notes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,,,Source : Dion Global Solutions Limited,,,,Source : Dion Global Solutions Limited,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
